user_id,user_name,reason,date,mod,server
432320889703628801,✞♡ 𝐏𝐥𝐨𝐨𝐬𝐡𝐢𝐞 ♡✞#8436,Keep your racist slurs out of this server. Don't come back if you if you won't improve.,Date N/A,Smaen#9999,PC Help Hub
435828331964006403,nica_woofy#3781,Yes,Date N/A,Smaen#9999,PC Help Hub
445096479695044608,Juffyz#6856,,Date N/A,Smaen#9999,PC Help Hub
447926718217584651,Razorok#8451,Hate ￼ symbols in your “Forbidden gaming pc build tutorial￼,Date N/A,Smaen#9999,PC Help Hub
449788978581733377,NightmarBeef#4957,spamming racial slurs,Date N/A,Smaen#9999,PC Help Hub
450030806359080960,wakqx#1611,Thin Ice Ban,Date N/A,Smaen#9999,PC Help Hub
457970702591590402,Deleted User a264767b#1454,Racial slurs,Date N/A,Smaen#9999,PC Help Hub
460893221757911042,Rare Guun#5873,,Date N/A,Smaen#9999,PC Help Hub
469924937646342144,Maurice Janssen#0001,,Date N/A,Smaen#9999,PC Help Hub
477114203052703764,frontlevepro25#4830,,Date N/A,Smaen#9999,PC Help Hub
481112396090441740,Failure#6813,ok quenfuwb eifbeusb aoebcj,Date N/A,Smaen#9999,PC Help Hub
484440938467557387,ClipBot101#7007,,Date N/A,Smaen#9999,PC Help Hub
485979243516526596,hooisit#5930,"Stop disrespecting Staff, EB’s and Members",Date N/A,Smaen#9999,PC Help Hub
497714819416195082,Supreme leader#2234,,Date N/A,Smaen#9999,PC Help Hub
506582665600827402,🍌!#6496,dont join just to troll and break discord ToS,Date N/A,Smaen#9999,PC Help Hub
506587148384993300,Deleted User 9ec8fbc8#8633,Inappropriate content,Date N/A,Smaen#9999,PC Help Hub
509074872769576960,𝔸𝕤𝕡𝕖𝕩#6847,,Date N/A,Smaen#9999,PC Help Hub
512434558856331264,BIG BIG#1519,,Date N/A,Smaen#9999,PC Help Hub
527634365245554690,squareslay#5835,,Date N/A,Smaen#9999,PC Help Hub
531241439842271242,Kingpin®#6900,Thin Ice (90d tempban) Breaking rules%2C pinging people for no reason%2C acted like staff on more than once occasion within 2 hours,Date N/A,Smaen#9999,PC Help Hub
531599695437496330,Extra Chromosome#2958,Self promotion of yourself,Date N/A,Smaen#9999,PC Help Hub
531605025223475208,Jucci#5947,,Date N/A,Smaen#9999,PC Help Hub
531652234178592819,!Charlie#1000,,Date N/A,Smaen#9999,PC Help Hub
537599748170055696,hank#0420,Possible troll,Date N/A,Smaen#9999,PC Help Hub
538745611609047042,Darkrai192 LoL#9432,False Links.,Date N/A,Smaen#9999,PC Help Hub
541008202746167316,wc#1668,Troll account,Date N/A,Smaen#9999,PC Help Hub
541322766566031375,charli#0100,Various reasons. Nobody reads this anyway,Date N/A,Smaen#9999,PC Help Hub
542484479520800782,Deleted User b7d67fbf#7530,Dont try and get with our EBs,Date N/A,Smaen#9999,PC Help Hub
542804919468687362,tronald D dump#7866,NSFW images,Date N/A,Smaen#9999,PC Help Hub
544283340837093396,Deleted User 91ab6d01#9089,,Date N/A,Smaen#9999,PC Help Hub
551885633241743380,woop out 90#0386,Dont throw out racial slurs,Date N/A,Smaen#9999,PC Help Hub
556607508794441748,soulja#6030,Rule 1: Insulting staff. History of breaking rules,Date N/A,Smaen#9999,PC Help Hub
557294656338001950,ٴٴٴcheese#2442,,Date N/A,Smaen#9999,PC Help Hub
557689121188085771,Brazifye#0612,Don't come here just to advertise yourself%2C and certainly don't try to ping over 8k people.,Date N/A,Smaen#9999,PC Help Hub
565904901184684032,Steph002#4589,,Date N/A,Smaen#9999,PC Help Hub
567094630701858835,Mar.#9020,Inappropriate profile picture,Date N/A,Smaen#9999,PC Help Hub
567684700039020544,Gilbert#5818,,Date N/A,Smaen#9999,PC Help Hub
568845117893378078,declanmillz#4230,Advertising,Date N/A,Smaen#9999,PC Help Hub
570806596561797141,𝔇 𝔨𝔦𝔫𝔤*#6290,dont come here to advertise ,Date N/A,Smaen#9999,PC Help Hub
572345349914624002,SenpaiStuff#3028,Don't advertise your shit here please.,Date N/A,Smaen#9999,PC Help Hub
580865045597126677,Deleted User f23e491e#2123,Using the N word is a hard ban. Rule 1.,Date N/A,Smaen#9999,PC Help Hub
581422101852979211,i like men because there awesome#1593,,Date N/A,Smaen#9999,PC Help Hub
581610434931720193,Jediah#6993,Selfbotting,Date N/A,Smaen#9999,PC Help Hub
583391868063318035,alpha max#9582,,Date N/A,Smaen#9999,PC Help Hub
591336090896564226,InvertedSense#0159,,Date N/A,Smaen#9999,PC Help Hub
604894561709326369,Ted1942#0001,,Date N/A,Smaen#9999,PC Help Hub
608764188277604372,Roy_Dookie#9064,,Date N/A,Smaen#9999,PC Help Hub
609489631574098101,AnakinOU74#3395,No fuck you,Date N/A,Smaen#9999,PC Help Hub
614938846315937797,BeeMW64#5922,if you didn't learn once%2C you probably won't learn anymore,Date N/A,Smaen#9999,PC Help Hub
616900693961342988,MarkZC8261#9862,Not sure why you%E2%80%99re posting IP grabber links but goodbye. Don%E2%80%99t return.,Date N/A,Smaen#9999,PC Help Hub
622544384038273024,GangMasterOG#5166,,Date N/A,Smaen#9999,PC Help Hub
